bbox,full_id,maxspeed,lanes,highway,wkt_geom
1,w854509202,50,2,tertiary,"LineString (10.1502889 53.6283518, 10.1503464 53.6283491, 10.1504428 53.6283446, 10.1505858 53.628338, 10.1506614 53.6283345, 10.1508312 53.6283174, 10.1509385 53.6283044, 10.1510216 53.6282944, 10.1511584 53.6282685, 10.1514726 53.6282201, 10.1524412 53.6280539, 10.1524854 53.6280464, 10.1525962 53.6280275, 10.1527502 53.6280013, 10.1530349 53.6279527, 10.1534943 53.6278744, 10.153707 53.6278392, 10.1551962 53.6275709, 10.1552345 53.6275639, 10.15532 53.6275484, 10.155737 53.6274727, 10.1559741 53.627429, 10.1563567 53.6273225, 10.1565721 53.6272516, 10.1568886 53.6271099, 10.1576989 53.6267238, 10.1581441 53.6265117, 10.1583857 53.6263966, 10.1586526 53.626269, 10.1592541 53.6259832, 10.1596651 53.6257879, 10.159804 53.6257234)"
4,w701056609,50,4,primary,"LineString (10.0571718 53.592275, 10.0572024 53.5922963)"
4,w137131511,50,2,primary,"LineString (10.0413549 53.579833, 10.0414506 53.5798916, 10.0417077 53.5801033, 10.0417964 53.5801763, 10.04189 53.5802314, 10.0420198 53.5803384)"
8,w1133166008,50,,primary,"LineString (10.1165331 53.5838299, 10.1169426 53.5841476)"
4,w1092919321,50,2,tertiary,"LineString (10.0444089 53.5914788, 10.0442613 53.5914786, 10.0441231 53.5914784, 10.0440109 53.5914782)"
10,w686950658,50,1,secondary,"LineString (10.2095062 53.5130138, 10.2093452 53.5129976, 10.2092612 53.5129873, 10.2089906 53.5129543, 10.207895 53.5128521)"
2,w651610088,30,2,tertiary,"LineString (10.054215 53.5648384, 10.0536516 53.5647102)"
12,w3997588,50,2,primary,"LineString (9.9767395 53.5781, 9.9766617 53.5781513, 9.9766289 53.5781751)"
4,w197426744,50,1,secondary,"LineString (10.046083 53.5874992, 10.0460808 53.5874808, 10.0460836 53.5874624, 10.0460913 53.5874445, 10.0461036 53.5874275, 10.0461204 53.587412, 10.0461411 53.5873981, 10.0461652 53.5873865, 10.0461921 53.5873772, 10.0462212 53.5873706)"
4,w147278991,30,1,tertiary,"LineString (10.0425157 53.5853752, 10.0426193 53.5854222, 10.0427042 53.5854731, 10.0429665 53.5856369, 10.0430841 53.5857062, 10.0434386 53.5859179, 10.0442983 53.5864126, 10.0444211 53.5864867, 10.0445712 53.5865782, 10.0446015 53.5866029, 10.0446229 53.5866276, 10.0446562 53.5866729, 10.0446687 53.5866899, 10.0446957 53.5867505)"
12,w1052336343,50,3,primary,"LineString (9.9670095 53.5690041, 9.9665597 53.5691891, 9.9665054 53.5692131, 9.9662358 53.5692889)"
8,w592814681,50,2,secondary,"LineString (10.1088812 53.5926413, 10.10879 53.5924858, 10.1086141 53.5922509, 10.1084256 53.5920636)"
7,w30620207,50,1,primary,"LineString (9.990363 53.4525565, 9.9907148 53.452679, 9.9908472 53.4527376, 9.9909572 53.4528131, 9.9910398 53.4528947, 9.9911376 53.4529995, 9.9912602 53.4531428)"
5,w5042342,50,2,secondary,"LineString (9.9991089 53.4987129, 9.9988917 53.4987658, 9.9986862 53.4988158, 9.9984203 53.4988785)"
10,w1055145752,50,1,secondary,"LineString (10.2089278 53.4964224, 10.2090446 53.4965556)"
14,w77364112,50,2,tertiary,"LineString (10.1492217 53.5242758, 10.1492394 53.5242475, 10.1492463 53.5242206, 10.1492507 53.5241908, 10.14925 53.524158, 10.1492341 53.5241179, 10.1491051 53.523861, 10.1489398 53.5235658, 10.1483009 53.5224904)"
2,w989704751,50,2,secondary,"LineString (10.0574082 53.5549857, 10.0573318 53.5549888, 10.0571893 53.5549931, 10.0570879 53.5549964, 10.0567845 53.5550065, 10.0564846 53.5549931)"
11,w1026843173,,2,tertiary,"LineString (10.193675 53.6093372, 10.1936436 53.6094379, 10.1935831 53.6095159, 10.193541 53.6095678, 10.1934553 53.6096599)"
4,w4993416,50,2,tertiary,"LineString (10.0498808 53.5916759, 10.0501169 53.591672, 10.050393 53.5916631, 10.0505967 53.5916565, 10.0510021 53.5916434, 10.0512265 53.5916361, 10.0514803 53.5916312)"
13,w1144841175,,2,tertiary,"LineString (9.9850733 53.5832155, 9.9852202 53.582984)"
4,w605693227,50,2,secondary_link,"LineString (10.0406989 53.5802928, 10.0406127 53.5802885, 10.0405058 53.5802754)"
12,w664771999,50,3,tertiary,"LineString (9.9639355 53.5688414, 9.9639107 53.5688761, 9.9638892 53.5689107, 9.9638456 53.5689853, 9.9637406 53.569167, 9.9637047 53.5692201)"
13,w710544686,50,2,tertiary,"LineString (9.9979342 53.578821, 9.9977313 53.5787025)"
11,w1226952373,50,3,secondary,"LineString (10.1871782 53.6078803, 10.1867747 53.6077781, 10.1865383 53.6077226, 10.1860844 53.6076364, 10.1860023 53.6076188)"
7,w129704040,50,2,primary,"LineString (9.9891611 53.4573413, 9.9893655 53.4573069)"
2,w196956264,50,2,primary,"LineString (10.0530196 53.5609012, 10.0532894 53.5608939)"
4,w605693226,50,1,tertiary,"LineString (10.0405058 53.5802754, 10.0404785 53.5803328, 10.0404511 53.5803902)"
7,w598514745,50,1,tertiary,"LineString (9.9936377 53.4653006, 9.9934829 53.4653099, 9.9931657 53.4653286)"
2,w1169642841,50,2,secondary_link,"LineString (10.0653681 53.5539659, 10.0653092 53.5539649, 10.0652239 53.5539548, 10.0651712 53.5539419, 10.0651202 53.5539221)"
4,w1246018810,50,2,secondary,"LineString (10.0489068 53.5880948, 10.0491073 53.587985, 10.0492867 53.5879153, 10.04934 53.5878943, 10.0495457 53.5878066)"
7,w40347054,50,2,primary,"LineString (9.9887457 53.4573276, 9.9887465 53.4572298)"
2,w54638748,50,1,tertiary,"LineString (10.0576988 53.5643445, 10.0578525 53.5642905)"
12,w1185539845,50,4,primary,"LineString (9.9617188 53.5774194, 9.9615994 53.5772641)"
4,w32352547,50,2,secondary,"LineString (10.0340804 53.5799099, 10.0341781 53.5799202, 10.034443 53.579953, 10.0349001 53.5800131, 10.0356056 53.5801247, 10.0357637 53.580153, 10.0361368 53.5802153, 10.0367064 53.5802946, 10.0368661 53.5803043, 10.0370929 53.580305)"
12,w23105092,50,2,tertiary,"LineString (9.9555228 53.5792955, 9.9556047 53.5793443, 9.9556389 53.5793643, 9.9556741 53.5793861, 9.9557693 53.5794438, 9.9558729 53.5795067, 9.9559826 53.579568)"
7,w10613724,30,2,tertiary,"LineString (9.9869247 53.4661198, 9.987338 53.4660614, 9.9875605 53.4660292, 9.9876797 53.4660119, 9.9878679 53.4659847, 9.9878893 53.4659816, 9.9886098 53.4658773)"
7,w485693182,80,2,trunk,"LineString (9.9871147 53.4515642, 9.9865597 53.4513875)"
11,w975037804,70,1,tertiary,"LineString (10.1963978 53.6053781, 10.1959307 53.605406, 10.1958225 53.6054144, 10.1957668 53.6054178, 10.1957054 53.6054192, 10.1956344 53.605419, 10.1955445 53.6054158, 10.1954563 53.6054094, 10.1953551 53.6053967, 10.1952625 53.6053852, 10.1951923 53.6053763, 10.1951368 53.6053726, 10.1950867 53.6053707, 10.1950456 53.60537, 10.1950188 53.6053718, 10.1949883 53.605375, 10.1949551 53.6053805)"
2,w733883661,50,4,primary,"LineString (10.039777 53.5524883, 10.0402563 53.5525053, 10.040358 53.5525089, 10.040395 53.5525101, 10.0406157 53.5525175)"
7,w28115569,50,2,primary,"LineString (10.0008436 53.4632867, 10.0011033 53.463253)"
1,w8435889,50,,tertiary,"LineString (10.1407542 53.6257738, 10.1407505 53.6257442, 10.1407228 53.6257058, 10.1406235 53.6256141, 10.1403 53.6253329, 10.1402465 53.6252876, 10.1402307 53.6252705, 10.1401774 53.6252043, 10.140155 53.625133, 10.1401624 53.6250632, 10.140321 53.6245395, 10.1403656 53.6243984, 10.1403844 53.6243387, 10.1405414 53.6238416, 10.1406866 53.6233693, 10.1407916 53.623179, 10.141826 53.6219599, 10.1422443 53.6214669, 10.1423726 53.6213157, 10.1424105 53.6212742, 10.1426465 53.6210156, 10.1427875 53.6208492, 10.1429183 53.6206949, 10.1431085 53.6204705, 10.1433385 53.6201992, 10.1434612 53.6200546, 10.1435868 53.6199065, 10.1439396 53.6194902, 10.1446192 53.6186965, 10.1446976 53.6186049, 10.1448567 53.618419, 10.1450039 53.6182402, 10.1450847 53.6181245)"
4,w136937286,50,,secondary,"LineString (10.0462212 53.5873706, 10.0462701 53.5872837, 10.0463288 53.5872261)"
4,w185395262,50,2,secondary,"LineString (10.0458199 53.588491, 10.0459575 53.5884839)"
7,w792264711,50,2,primary,"LineString (9.9875315 53.4511322, 9.9875518 53.4510178, 9.9875674 53.4508698, 9.9875725 53.4507148)"
12,w137154549,50,2,primary,"LineString (9.9786349 53.5723664, 9.9786051 53.5724368)"
0,w1228066191,50,2,secondary,"LineString (9.9573968 53.5496559, 9.9578367 53.5496036, 9.9580059 53.5495835)"
7,w10751197,50,2,secondary,"LineString (9.9903523 53.4592244, 9.9904311 53.4591942, 9.9904651 53.4591843)"
7,w124055945,50,3,primary,"LineString (10.0048304 53.4628476, 10.0049138 53.4628441, 10.005136 53.4628373)"
1,w40152557,50,2,secondary,"LineString (10.1362293 53.6349249, 10.1359609 53.6354397)"
8,w29583410,50,2,secondary,"LineString (10.1221771 53.5851981, 10.1231093 53.5855319, 10.1233448 53.5856162, 10.123397 53.585635, 10.1236313 53.585719, 10.1239399 53.5858166)"
12,w48932480,50,4,primary,"LineString (9.9576242 53.5700846, 9.9574351 53.5701294, 9.9565834 53.5703313, 9.9564379 53.5703653)"
2,w1116978259,50,1,primary,"LineString (10.0389734 53.5592172, 10.0389413 53.5592362, 10.0389029 53.5592559)"
7,w24460973,50,4,primary,"LineString (9.9871807 53.4591408, 9.9873067 53.4590459)"
13,w38684809,50,1,tertiary,"LineString (9.9977313 53.5787025, 9.9975556 53.5786428, 9.9973945 53.5785815)"
4,w185395264,50,2,secondary,"LineString (10.0457982 53.588579, 10.045623 53.5886006, 10.0452431 53.5886485, 10.0450883 53.5886613, 10.0449096 53.5886648, 10.0447892 53.588674)"
4,w3453383,50,2,tertiary,"LineString (10.0484908 53.5850069, 10.0484076 53.5850672, 10.0483561 53.585119, 10.0482515 53.5852802)"
9,w1080326852,80,2,motorway_link,"LineString (9.9155619 53.6133101, 9.9154408 53.6135851, 9.9152927 53.6137647, 9.9151493 53.6139388, 9.9149717 53.6141253, 9.9147561 53.6143181, 9.9144976 53.6145164, 9.914228 53.6146977, 9.9140979 53.6147852)"
10,w533890178,50,2,secondary,"LineString (10.2085546 53.4962703, 10.2083067 53.4960625, 10.2082674 53.4960307, 10.2081474 53.4959231)"
2,w22376564,50,4,primary,"LineString (10.0579732 53.5510692, 10.0576834 53.5510973)"
7,w607692939,50,4,secondary,"LineString (9.9857067 53.456445, 9.9855363 53.4565419, 9.9854781 53.456575, 9.9852154 53.4567247)"
6,w958639053,50,2,tertiary,"LineString (10.3031653 53.43992, 10.3032139 53.4401019, 10.3033004 53.44035, 10.3034123 53.4406118)"
8,w25481227,50,4,tertiary,"LineString (10.1085195 53.5928242, 10.1087328 53.5927194, 10.1087902 53.5926912, 10.1088812 53.5926413)"
12,w391821202,50,2,primary,"LineString (9.9783058 53.5722346, 9.9783518 53.5720715)"
4,w1229643380,50,3,primary,"LineString (10.0561867 53.5913779, 10.0560398 53.5914455)"
5,w1071079482,50,1,secondary,"LineString (10.0024373 53.4976632, 10.0026132 53.4976121, 10.0030031 53.4975094, 10.0034651 53.4973876)"
11,w1229262799,,1,tertiary,"LineString (10.1944979 53.605162, 10.1945113 53.6051539, 10.1945257 53.6051464, 10.1945408 53.6051394, 10.1945567 53.605133, 10.1945732 53.6051273)"
7,w26960804,50,3,primary,"LineString (9.9876445 53.4510075, 9.9876383 53.4511382)"
13,w142709194,50,2,primary,"LineString (9.9824472 53.5896552, 9.9829115 53.5898618, 9.9829804 53.5898924, 9.98326 53.5899947)"
7,w837975593,50,2,secondary,"LineString (9.9950567 53.4651096, 9.9949727 53.46514, 9.9948845 53.4651666, 9.9948259 53.4651818)"
2,w887478416,50,2,secondary,"LineString (10.0463336 53.5582989, 10.0462384 53.5582676, 10.0461367 53.5582298, 10.0460505 53.5581884, 10.0459615 53.5581403)"
10,w32299045,50,2,secondary,"LineString (10.2223972 53.5063599, 10.2223921 53.5063278, 10.2223593 53.5061998, 10.2223294 53.5061061, 10.2222779 53.5060095, 10.2222325 53.5059228, 10.2221601 53.5058198, 10.2220125 53.5056413, 10.2218407 53.5054727, 10.2217886 53.5054293, 10.2217589 53.505405, 10.2217373 53.5053906, 10.2216751 53.5053469, 10.2216514 53.5053326, 10.2216176 53.505311)"
14,w609015353,50,2,tertiary,"LineString (10.1447762 53.5298065, 10.1456885 53.5297893, 10.1465765 53.5297759, 10.1470781 53.5297657)"
8,w922264839,50,2,secondary,"LineString (10.1247173 53.586036, 10.1247198 53.5859734, 10.1247225 53.5859163, 10.1247262 53.585842, 10.1247491 53.5857301, 10.1247769 53.5856262, 10.1248262 53.5854731, 10.1249543 53.5853423)"
5,w606833658,50,2,secondary,"LineString (10.0270027 53.5026417, 10.0271273 53.5029601, 10.0273129 53.5034082, 10.0273737 53.5035702, 10.0273963 53.5036346, 10.0274013 53.5036744, 10.0273983 53.5037165, 10.0273865 53.5037493, 10.0273792 53.5037644)"
6,w364820542,30,,tertiary,"LineString (10.3101605 53.4439861, 10.3103722 53.4446589, 10.3105856 53.4454399, 10.3110011 53.4469124, 10.311407 53.4483926, 10.3115894 53.4490816, 10.3116481 53.4493035, 10.3117581 53.4497051, 10.3119023 53.4502335, 10.3119526 53.4504109, 10.3123197 53.4517982)"
4,w189764302,50,3,tertiary,"LineString (10.0420772 53.5856585, 10.0422286 53.5854697, 10.0422694 53.58542, 10.0422982 53.585396)"
9,w30333050,30,2,tertiary,"LineString (9.9124127 53.6113517, 9.912525 53.6113626, 9.9126094 53.6113662, 9.9126946 53.6113661, 9.912801 53.6113604, 9.9128966 53.6113501, 9.9129548 53.6113408)"
12,w89170550,50,2,tertiary,"LineString (9.9551333 53.5691082, 9.9550223 53.5692128, 9.9548312 53.5693771, 9.9547762 53.5694273, 9.9546635 53.5695217)"
2,w414634840,50,2,tertiary,"LineString (10.0589875 53.5508205, 10.0589712 53.5509031)"
8,w592807759,50,5,secondary,"LineString (10.0994249 53.5891472, 10.0991233 53.5890851, 10.0989815 53.5890559, 10.0987908 53.5890159)"
7,w485713839,50,2,primary,"LineString (9.9912602 53.4531428, 9.990852 53.4528266, 9.9907798 53.4527733, 9.990363 53.4525565)"
0,w1227976797,50,1,secondary,"LineString (9.9601257 53.5494586, 9.9609107 53.5494352)"
4,w188565073,50,2,secondary,"LineString (10.0442501 53.5922943, 10.0442816 53.5926376)"
2,w146827067,50,3,secondary,"LineString (10.064433 53.5540621, 10.0646519 53.5539909, 10.0647697 53.553967, 10.0648331 53.5539581, 10.0650147 53.5539353)"
13,w802415570,50,1,tertiary,"LineString (9.9938907 53.5795936, 9.9938982 53.5795673, 9.9939004 53.5795382, 9.9938995 53.5795141, 9.9939014 53.5793407, 9.9939163 53.5792151)"
5,w798500166,30,,tertiary,"LineString (10.0131489 53.5003105, 10.0131904 53.5003097, 10.0132297 53.5003177, 10.0132617 53.5003335, 10.013282 53.500355, 10.0132882 53.5003764, 10.0132828 53.5003979, 10.0132662 53.5004173, 10.0132403 53.5004326, 10.0132075 53.5004423, 10.0131669 53.5004453, 10.0131272 53.5004396, 10.0130933 53.5004259, 10.0130696 53.5004061, 10.0130592 53.5003826, 10.0130633 53.5003583, 10.0130814 53.5003365, 10.0131112 53.5003199, 10.0131489 53.5003105)"
12,w391801504,50,2,secondary,"LineString (9.9775768 53.5713908, 9.9776758 53.5714861)"
0,w885599486,50,1,secondary_link,"LineString (9.9563548 53.5497989, 9.9558936 53.5498766, 9.9558131 53.5499051, 9.9557518 53.5499337, 9.95572 53.549958, 9.9556942 53.5499847)"
2,w1116978260,50,2,primary,"LineString (10.0388704 53.5591664, 10.0389734 53.5592172)"
7,w124815526,50,2,primary,"LineString (9.9968266 53.4567534, 9.9971933 53.4566382, 9.9974622 53.4565467, 9.99783 53.4564161, 9.9979924 53.4563545)"
13,w1144841161,,2,secondary,"LineString (9.9850733 53.5832155, 9.9854693 53.5830418)"
2,w989704755,50,2,tertiary,"LineString (10.0575332 53.5544578, 10.0575927 53.5545937, 10.057592 53.5546754, 10.0575877 53.5547371, 10.0575788 53.5548659)"
7,w4070833,50,2,tertiary,"LineString (9.9850723 53.4663893, 9.9852612 53.466362, 9.9854687 53.4663324, 9.9857159 53.4662962, 9.9858841 53.4662718)"
9,w1237810180,50,3,primary,"LineString (9.9062561 53.6140938, 9.9061706 53.6140505, 9.9060986 53.6138573, 9.9060821 53.6138064)"
4,w566331374,50,2,primary,"LineString (10.0510789 53.5865902, 10.0509247 53.5864315)"
4,w134071850,50,1,secondary,"LineString (10.0463653 53.5873787, 10.0463945 53.5873896, 10.0464201 53.5874035, 10.0464411 53.5874197, 10.046457 53.5874379, 10.046461 53.5874439)"
4,w1156156211,50,2,secondary,"LineString (10.0324415 53.5798603, 10.0322728 53.5798749)"
12,w30070899,50,3,primary,"LineString (9.9662358 53.5692889, 9.9660037 53.569337, 9.965829 53.5693639, 9.9655051 53.5694004)"
2,w4379673,50,3,primary,"LineString (10.0389472 53.5595187, 10.038903 53.5594959)"
4,w964064666,50,2,secondary,"LineString (10.0327297 53.5908225, 10.0327515 53.5906543)"
0,w1046194465,50,3,secondary,"LineString (9.9560794 53.5516984, 9.955854 53.5516951)"
13,w1067013553,,,tertiary,"LineString (9.988494 53.5855318, 9.9885268 53.5856175, 9.9885665 53.5858436)"
4,w680718098,50,2,tertiary,"LineString (10.0543418 53.5915492, 10.0544986 53.5915636, 10.0545415 53.5915771, 10.0546266 53.5916173, 10.0547272 53.5916786, 10.0547477 53.5916925, 10.0548107 53.5917332, 10.0549194 53.5918034)"
0,w1149223536,50,2,tertiary,"LineString (9.9537179 53.5456119, 9.9537076 53.545604, 9.9536224 53.5455394)"
7,w1207849411,50,2,secondary,"LineString (9.9911911 53.4598586, 9.9916478 53.4604793)"
7,w1018209389,,2,secondary,"LineString (9.9869316 53.461677, 9.9871062 53.4616021, 9.9872911 53.4615186, 9.9879568 53.4612267, 9.9880542 53.4611702, 9.9881276 53.4611065, 9.9882118 53.4610138)"
